DATE,PCEPILFE,natLog,natLogChg
2001-01-01,81.71633333,4.4032539,
2001-04-01,82.025,4.407024079,0.003770179
2001-07-01,82.237,4.409605322,0.002581244
2001-10-01,82.63366667,4.414417184,0.004811862
2002-01-01,82.88766667,4.417486277,0.003069093
2002-04-01,83.344,4.422976621,0.005490344
2002-07-01,83.78766667,4.428285821,0.0053092
2002-10-01,84.08566667,4.43183612,0.0035503
2003-01-01,84.34533333,4.434919482,0.003083362
2003-04-01,84.66533333,4.43870623,0.003786748
2003-07-01,85.05266667,4.443270672,0.004564442
2003-10-01,85.43366667,4.447740246,0.004469574
2004-01-01,85.90366667,4.453226513,0.005486267
2004-04-01,86.39433333,4.458922087,0.005695574
2004-07-01,86.704,4.462500019,0.003577932
2004-10-01,87.174,4.467906121,0.005406102
2005-01-01,87.794,4.474993161,0.00708704
2005-04-01,88.22933333,4.479939485,0.004946324
2005-07-01,88.57333333,4.483830834,0.003891349
2005-10-01,89.16466667,4.490484848,0.006654013
2006-01-01,89.68133333,4.496262646,0.005777799
2006-04-01,90.39566667,4.504196331,0.007933685
2006-07-01,90.88266667,4.509569297,0.005372966
2006-10-01,91.274,4.513865972,0.004296674
2007-01-01,91.904,4.520744554,0.006878582
2007-04-01,92.28633333,4.524896063,0.004151509
2007-07-01,92.73933333,4.52979269,0.004896628
2007-10-01,93.38066667,4.536684329,0.006891638
2008-01-01,93.875,4.54196411,0.005279781
2008-04-01,94.26966667,4.546159469,0.004195359
2008-07-01,94.75066667,4.55124888,0.005089411
2008-10-01,94.67566667,4.550457015,-0.000791865
2009-01-01,94.67466667,4.550446453,-1.05624E-05
2009-04-01,95.046,4.554360985,0.003914532
2009-07-01,95.38266667,4.557896871,0.003535886
2009-10-01,95.977,4.564108579,0.006211709
2010-01-01,96.305,4.567520239,0.003411659
2010-04-01,96.565,4.570216357,0.002696118
2010-07-01,96.71333333,4.571751276,0.00153492
2010-10-01,97.01866667,4.5749034,0.003152123
2011-01-01,97.44533333,4.579291537,0.004388137
2011-04-01,98.015,4.585120528,0.005828991
2011-07-01,98.462,4.589670687,0.004550159
2011-10-01,98.813,4.593229175,0.003558488
2012-01-01,99.43633333,4.599517573,0.006288398
2012-04-01,99.84766667,4.603645691,0.004128118
2012-07-01,100.1363333,4.606532591,0.0028869
2012-10-01,100.579,4.610943488,0.004410898
2013-01-01,100.9826667,4.614948885,0.004005397
2013-04-01,101.291,4.617997562,0.003048677
2013-07-01,101.6836667,4.621866687,0.003869125
2013-10-01,102.1806667,4.626742488,0.004875801
2014-01-01,102.533,4.630184698,0.00344221
2014-04-01,103.04,4.635117262,0.004932564
2014-07-01,103.4376667,4.638969177,0.003851914
2014-10-01,103.7353333,4.641842784,0.002873607
2015-01-01,103.9386667,4.643800982,0.001958198
2015-04-01,104.384,4.648076407,0.004275425
2015-07-01,104.6986667,4.651086383,0.003009976
2015-10-01,104.926,4.65325534,0.002168957
2016-01-01,105.3646667,4.657427349,0.004172009
2016-04-01,105.937,4.662844578,0.005417229
2016-07-01,106.4306667,4.667493756,0.004649178
2016-10-01,106.8183333,4.671129572,0.003635816
2017-01-01,107.3276667,4.67588646,0.004756888
2017-04-01,107.7383333,4.679705448,0.003818987
2017-07-01,108.0766667,4.682840852,0.003135404
2017-10-01,108.6076667,4.687742,0.004901149
2018-01-01,109.3176667,4.694258017,0.006516016
2018-04-01,109.9263333,4.699810444,0.005552428
2018-07-01,110.3136667,4.703327823,0.003517379
2018-10-01,110.822,4.707925311,0.004597487
2019-01-01,111.2303333,4.711603126,0.003677816
2019-04-01,111.8076667,4.716780133,0.005177007
2019-07-01,112.2553333,4.720776038,0.003995905
2019-10-01,112.5973333,4.723818033,0.003041994
2020-01-01,113.119,4.728440362,0.004622329
2020-04-01,112.846,4.726024057,-0.002416305
2020-07-01,113.7286667,4.733815494,0.007791437
2020-10-01,114.1623333,4.737621412,0.003805918
2021-01-01,115.0713333,4.745552226,0.007930814
2021-04-01,116.774,4.760240443,0.014688217
2021-07-01,118.152,4.771971931,0.011731488
2021-10-01,119.555,4.783776517,0.011804585
